osm_id,name,lat,lon,type,phone,website,address_city,address_street,category,tags.amenity,tags.cuisine,tags.name,extracted_emails,instagram,twitter,facebook,meta_description,tags.addr:city,tags.addr:housenumber,tags.addr:postcode,tags.addr:street,tags.fhrs:confidence_management,tags.fhrs:hygiene,tags.fhrs:id,tags.fhrs:local_authority_id,tags.fhrs:rating,tags.fhrs:structural,tags.phone,tags.source,tags.source:addr,tags.source:postcode,tags.website,tags.wheelchair,tags.wikidata,enrichment_error,tags.level,tags.indoor_seating,tags.outdoor_seating,tags.postal_code,tags.wikipedia,tags.brand,tags.brand:wikidata,tags.brand:wikipedia,tags.check_date,tags.contact:website,tags.name:ja,tags.opening_hours,tags.payment:cash,tags.payment:credit_cards,tags.payment:debit_cards,tags.note,tags.diet:vegetarian,linkedin,tags.diet:vegan,tags.name:en,tags.name:zh,tags.takeaway,tags.type,tags.official_name,tags.operator,tags.payment:american_express,tags.contact:instagram,tags.toilets:wheelchair,tags.old_name,tags.addr:country,tags.description,tags.source:addr:postcode,tags.survey:date,tags.reservation,tags.contact:facebook,tags.contact:twitter,tags.contact:phone,tags.addr:floor,tags.contact:fax,tags.addr:housename,tags.addr:place,tags.url,tags.disused,tags.email,tags.opening_hours:signed,tags.wikimedia_commons,tags.branch,tags.addr:interpolation,tags.wifi,tags.opening_hours:note,tags.alt_name,tags.diet:gluten_free,tags.fixme,tags.toilets,tags.toilets:access,tags.entrance,tags.air_conditioning,tags.capacity,tags.check_date:opening_hours,tags.highchair,tags.smoking,tags.name:zh-Hans,tags.name:zh-Hant,tags.building:levels,tags.addr:unit,tags.delivery,tags.name:es,tags.name:pt,tags.internet_access,tags.ref:vatin,tags.stars,tags.brand:en,tags.brand:zh,tags.internet_access:fee,tags.internet_access:ssid,tags.website:menu,tags.bar,tripadvisor,tags.diet:halal,tags.dog,tags.microbrewery,tags.payment:apple_pay,tags.payment:contactless,tags.payment:google_pay,tags.toilets:menstrual_products,tags.diet:meat,tags.check_date:diet:vegetarian,tags.payment:cards,tags.inscription,tags.building,tags.flickr,tags.image,tags.ref:GB:uprn,tags.roof:levels,tags.building:material,tags.roof:colour,tags.building:colour,tags.building:part,tags.toilets:unisex,tags.value,tags.wheelchair:description,tags.building:architecture,tags.source:addr:housenumber,tags.shop,tags.source:postal_code,tags.heritage,tags.heritage:operator,tags.heritage:website,tags.listed_status,tags.ref:GB:nhle,tags.short_name,tags.breakfast,tags.addr:parentstreet,tags.note:name:zh,tags.website:en,tags.serving_system:buffet,tags.payment:mastercard,tags.payment:visa,tags.changing_table,tags.toilets:disposal,tags.toilets:position,tags.cocktails
26845558,Old Tree Daiwan Bee,51.5110542,-0.1325596,node,,,,,restaurant,restaurant,taiwanese,Old Tree Daiwan Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259774384,Sketch,51.5127342,-0.1414857,node,+44 20 7659 4500,https://sketch.london/,London,Conduit Street,restaurant,restaurant,,Sketch,['info@sketch.london'],https://www.instagram.com/sketchlondon/,https://twitter.com/sketchlondon,https://www.facebook.com/sketchlondon.mayfair/,"EAT, DRINK, MUSIC, ART. Comprising of French MasterChef Pierre Gagnaire's three-Michelin-Starred restaurant, the Lecture Room and Library , the Gallery Gastro Brasserie , the Glade restaurant and bar , the Parlour all day cafÃ© and bar and the East Bar & Pod loos. Everchanging artwork throughout the building 365 days a year.",London,9,W1S 2XD,Conduit Street,0,0,413604,01288/0009/0/000,5,5,+44 20 7659 4500,freind's local knowledge,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,https://sketch.london/,no,Q14955160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266481949,Aubaine,51.5109108,-0.1393146,node,,https://aubaine.co.uk/locations/heddon-street/,London,Heddon Street,restaurant,restaurant,french,Aubaine,,,,,,London,4,W1B 4BS,Heddon Street,,,,,,,,,,,https://aubaine.co.uk/locations/heddon-street/,,,415 Client Error: Unsupported Media Type for url: https://aubaine.co.uk/locations/heddon-street/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296358655,StreetXO,51.5112833,-0.1413619,node,+44 20 3096 7555,https://streetxo.com/london/,London,Old Burlington Street,restaurant,restaurant,italian,StreetXO,,,,,,London,15,W1S 2JR,Old Burlington Street,10,5,412506,00857/0014/0/000,3,10,+44 20 3096 7555,,FSA Food Hygiene Ratings Database,,https://streetxo.com/london/,,,404 Client Error: Not Found for url: https://streetxo.com/madrid/london/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313349031,Pastaio,51.5129035,-0.1390316,node,,https://www.pastaio.london/,London,Ganton Street,restaurant,restaurant,italian,Pastaio,,,,,,London,19,W1F 7BU,Ganton Street,,,,,,,,,,,https://www.pastaio.london/,,,"HTTPSConnectionPool(host='www.pastaio.london', port=443): Max retries exceeded with url: / (Caused by SSLError(CertificateError(""hostname 'www.pastaio.london' doesn't match 'uk52.siteground.eu'"")))",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338952744,Yauatcha,51.5136681,-0.1351842,node,,,London,Broadwick Street,restaurant,restaurant,Asian Fusion,Yauatcha,,,,,,London,15-17,,Broadwick Street,0,5,414531,04/00310/COMM,5,0,,,,,,yes,Q8050323,,,yes,yes,W1F 0DL,en:Yauatcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348857103,Pizza Hut,51.5108246,-0.1294685,node,+44 20 7930 9114,https://www.pizzahut.co.uk/restaurants/find/details/leicestersquare,London,Leicester Square,restaurant,restaurant,pizza,Pizza Hut,,,,,,London,19,WC2H 7LE,Leicester Square,,,427986,00989/0019/0/000,4,,+44 20 7930 9114,,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,,limited,,403 Client Error: Forbidden for url: https://www.pizzahut.co.uk/restaurants/find/details/leicestersquare,0,yes,yes,,,Pizza Hut,Q191615,en:Pizza Hut,2025-05-07,https://www.pizzahut.co.uk/restaurants/find/details/leicestersquare,ピザハット,Mo-Su 11:00-22:45; Th-Sa 11:00-23:30,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348871686,Caffè Concerto,51.5114642,-0.1327974,node,+44 20 7494 6853,https://www.caffeconcerto.co.uk/restaurant/shaftesbury-avenue.html,,Shaftesbury Avenue,cafe,cafe,italian,Caffè Concerto,['shaftesburyavenue@caffeconcerto.co.uk'],https://www.instagram.com/caffeconcertouk/?hl=en,https://twitter.com/caffeconcerto,,"Visit Caffè Concerto in the heart of London for a full Italian dining experience – breakfast, lunch, afternoon tea, dinner, and personalised celebration cakes.",,50,,Shaftesbury Avenue,,,,,,,+44 20 7494 6853,,,,https://www.caffeconcerto.co.uk/restaurant/shaftesbury-avenue.html,,,,,yes,yes,,,,,,2025-01-30,,,07:30-23:00,,,,spelling is correct according to its website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348904266,Angus Steakhouse,51.5100549,-0.1329228,node,,,,,restaurant,restaurant,,Angus Steakhouse,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,2023-10-06,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348905523,HAPPY,51.5101296,-0.1324716,node,+44 20 3883 7874,https://happyrestaurants.com/,London,Coventry Street,restaurant,restaurant,burger;chicken;international;seafood;fish_and_chips,HAPPY,[],https://www.instagram.com/happyrestaurants/,https://twitter.com/happylondon_,https://www.facebook.com/happyrestaurantlondon/,"Happy Restaurant in Piccadilly Circus, London. Mouth watering food served with a warm smile in a beautiful restaurant. Book Today!",London,25-29,W1D 7AG,Coventry Street,,,1214669,,,,+44 20 3883 7874,,,,https://happyrestaurants.com/,yes,,,,,,,,,,,,,,Mo-Sa 12:00-23:00,,,,,yes,https://www.linkedin.com/company/happy-restaurant-london,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
